# m4 [GeV]	90%CL CNH/Lambda^2 [GeV^-2] from monophoton Z searches (LEP) (https://arxiv.org/pdf/1103.0240.pdf)
39.73809658690412	0.000013766745415866973
40.65679413051791	0.00001429952287554146
41.59673086898834	0.000014971469454115145
42.558397827246665	0.000015864543678823146
43.542297382136645	0.000017155128114561966
44.548943524857336	0.000019327932808645522
45.57886212947323	0.000023942567015523566
46.63259122763183	0.00002870029313845655
47.710681289632674	0.00003111416339098582
48.81369551199405	0.0000327477439526172
49.94221011166814	0.00003406591199093549
51.09681462705786	0.00003522742031420864
52.27811222599312	0.000036305554995601606
53.486720020826766	0.00003733752790319733
54.72326939081561	0.000038347764665189936
55.98840631195403	0.0000393583439932786
57.28279169443342	0.00004038711507163524
58.60710172790291	0.00004145379235576869
59.96202823471226	0.00004257667330391812
61.3482790313215	0.000043774080142647684
62.766578298065475	0.00004506845767716206
64.21766695746742	0.00004648542199422249
65.7023030612982	0.000048049969748150346
67.22126218658441	0.00004979511670507695
68.77533784077124	0.000051761688759562785
70.36534187625259	0.00005398265127444427
71.99210491448427	0.0000564883481671953
73.6564767799027	0.00005931480831113989
75.3593269438746	0.00006251025783810809
77.1015449789111	0.00006614557983166848
78.88404102338187	0.00007035265768590164
80.70774625697355	0.00007529964710440154
82.57361338714006	0.00008120680616432768
84.48261714679872	0.00008832602911545712
86.43575480353304	0.00009883658979410257
88.43404668056716	0.00011645760878518
90.47853668978514	0.00015166245638885767
92.57029287707236	0.00021652305574969215
94.71040798026536	0.00041393852367443306
96.89999999999995	0.0013387634596180723
