#: table_doi: 10.17182/hepdata.115511.v1/t3
#: name: CL for 1SFH mu Dirac model
#: description: Expected and observed 95% CL for the 1SFH mu Dirac model.
#: data_file: u_comb_limits_LNC.yaml
#: keyword reactions: 
#: keyword observables: 
#: keyword cmenergies: 13000
#: keyword phrases: CL | expected limit contour | observed limit contour
#: SQRT(s) [GeV],13000
#: LUMINOSITY [fb$^{-1}$],139
HNL mass [GeV],Expected 95% CL []
7.9074074074074066,8.251846928674408e-07
7.889961135970051,8.296958520834915e-07
7.888888888888888,8.299846204586075e-07
7.870370370370369,8.349720589892378e-07
7.851851851851851,8.399198856690188e-07
7.833333333333333,8.44827847414031e-07
7.824778411304893,8.470868266557403e-07
7.814814814814815,8.498270557789425e-07
7.796296296296296,8.548977600539707e-07
7.777777777777778,8.599260430523772e-07
7.75951908325474,8.648423275731709e-07
7.7592592592592595,8.649151942238528e-07
7.74074074074074,8.701071199280806e-07
7.722222222222221,8.752540479117666e-07
7.703703703703703,8.803558066433747e-07
7.694168624999579,8.829699955494084e-07
7.685185185185185,8.855353868445318e-07
7.666666666666666,8.907991486626852e-07
7.648148148148148,8.960151809009589e-07
7.629629629629629,9.011833606201712e-07
7.628573760401707,9.014776314524917e-07
7.61111111111111,9.065471599041797e-07
7.592592592592593,9.11875500671833e-07
7.5740740740740735,9.171534472325904e-07
7.5627049256117385,9.20373199661823e-07
7.5555555555555545,9.224823281350494e-07
7.537037037037036,9.2792087237538e-07
7.518518518518518,9.333064659833227e-07
7.5,9.38639069566138e-07
7.496412704686474,9.39664831495469e-07
7.481481481481481,9.441127625066621e-07
7.462962962962963,9.495434766212452e-07
7.444444444444444,9.548832110428564e-07
7.428677094421252,9.593608287093148e-07
7.425925925925926,9.601749094382524e-07
7.407407407407407,9.656054451033332e-07
7.388888888888888,9.709520707163187e-07
7.37037037037037,9.762184045873328e-07
7.358803600172667,9.794696670695385e-07
7.351851851851851,9.815061633501173e-07
7.333333333333332,9.868817280869115e-07
7.314814814814815,9.921839616127027e-07
7.296296296296296,9.974162736164047e-07
7.287070949450786,1e-06
7.277777777777778,1.0027129705563532e-06
7.259259259259258,1.0080743363398252e-06
7.2407407407407405,1.0133726544522538e-06
7.222222222222222,1.0186111349011622e-06
7.2138620577808545,1.0209606623060475e-06
7.203703703703703,1.0239368066815921e-06
7.185185185185185,1.0293256546989954e-06
7.166666666666666,1.0346614590095396e-06
7.148148148148148,1.0399472331303007e-06
7.139653441649081,1.042360673976401e-06
7.129629629629631,1.0453296987566811e-06
7.111111111111111,1.0507887077525447e-06
7.092592592592592,1.0562043911754128e-06
7.0740740740740735,1.0615795636398222e-06
7.065001765250972,1.0642092440647247e-06
7.055555555555555,1.0670679690287755e-06
7.037037037037036,1.0726831136128605e-06
7.018518518518518,1.0782899017579202e-06
7.0,1.0838886261018965e-06
6.991332530660625,1.0865157746525372e-06
6.981481481481481,1.089634392587263e-06
6.962962962962963,1.0955096674447962e-06
6.944444444444444,1.101377472075318e-06
6.925925925925926,1.1072379850676347e-06
6.9194670863470975,1.1092898648952228e-06
6.907407407407407,1.1132904944111106e-06
6.888888888888888,1.1194433781148406e-06
6.87037037037037,1.1255892979823461e-06
6.851851851851851,1.1317283072884261e-06
6.84941392906514,1.1325413151528126e-06
6.833333333333332,1.1381398811043628e-06
6.814814814814815,1.1445872877561893e-06
6.796296296296296,1.1510277966397616e-06
6.78120121766675,1.1562801312073753e-06
6.777777777777778,1.1575235339323637e-06
6.759259259259259,1.1642887038957225e-06
6.7407407407407405,1.171046729362878e-06
6.722222222222222,1.177797420887069e-06
6.714794067509107,1.1805165285688055e-06
6.703703703703703,1.1847531799146581e-06
6.685185185185185,1.1918448215957537e-06
6.666666666666666,1.1989284738455825e-06
6.6501083816144755,1.2052609368708414e-06
6.648148148148148,1.206043149572485e-06
6.62962962962963,1.21348450108301e-06
6.611111111111111,1.2209168694290115e-06
6.592592592592593,1.2283397859957164e-06
6.587172818264508,1.2305240043592616e-06
6.5740740740740735,1.2360307915964271e-06
6.555555555555555,1.2438274921485127e-06
6.537037037037036,1.25161324108191e-06
6.52587707685996,1.2563166024741214e-06
6.518518518518518,1.2595511725036675e-06
6.5,1.2677275776371563e-06
6.481481481481481,1.2758911110506763e-06
6.466150863451325,1.28264983052806e-06
6.462962962962963,1.2841154129519794e-06
6.444444444444445,1.29268654002493e-06
6.425925925925926,1.3012424170404398e-06
6.407948763047065,1.3095350204826676e-06
6.407407407407407,1.3097953803524863e-06
6.3888888888888875,1.3187757740403962e-06
