#: table_doi: 10.17182/hepdata.115511.v1/t4
#: name: CL for 1SFH mu Majorana model
#: description: Expected and observed 95% CL for the 1SFH mu Majorana model.
#: data_file: u_comb_limits_LNC_plus_LNV.yaml
#: keyword reactions: 
#: keyword observables: 
#: keyword cmenergies: 13000
#: keyword phrases: CL | expected limit contour | observed limit contour
#: SQRT(s) [GeV],13000
#: LUMINOSITY [fb$^{-1}$],139
HNL mass [GeV],Expected 95% CL []
10.685185185185185,4.0439891509832774e-07
10.666666666666664,4.056145841906644e-07
10.648148148148147,4.0683917883676213e-07
10.62962962962963,4.080724207369687e-07
10.61111111111111,4.093140380356188e-07
10.603372373641012,4.098383671757261e-07
10.592592592592592,4.10612320943617e-07
10.574074074074074,4.1195421902336174e-07
10.555555555555557,4.133044045026657e-07
10.537037037037036,4.146626151176034e-07
10.518518518518517,4.1602859477448837e-07
10.5,4.174020934534642e-07
10.486253268440487,4.1842885079015763e-07
10.481481481481481,4.18806803442715e-07
10.462962962962962,4.202885692381417e-07
10.444444444444445,4.2177779237236277e-07
10.425925925925926,4.232742321818165e-07
10.407407407407407,4.247776539147916e-07
10.38888888888889,4.262878286556122e-07
10.377788447434746,4.271993966306776e-07
10.37037037037037,4.278458620357353e-07
10.351851851851851,4.294730383152913e-07
10.333333333333332,4.311051273998336e-07
10.314814814814815,4.327217892610111e-07
10.296296296296296,4.3430112990582035e-07
10.277777777777777,4.3582365086313526e-07
10.273648407284153,4.361537789208005e-07
10.25925925925926,4.373351423244781e-07
10.24074074074074,4.3880177083663827e-07
10.222222222222221,4.4021174331708246e-07
10.203703703703702,4.4156743915273886e-07
10.185185185185185,4.4287110316493815e-07
10.166666666666666,4.441248547883499e-07
10.148690784064707,4.45295850994266e-07
10.148148148148147,4.453323355599345e-07
10.12962962962963,4.465491685015855e-07
10.11111111111111,4.477519108212347e-07
10.092592592592592,4.489614318831501e-07
10.074074074074074,4.501772453857249e-07
10.055555555555555,4.5139887351733296e-07
10.037037037037036,4.5262584687560974e-07
10.018518518518519,4.5385770438805067e-07
10.007001599819118,4.5462954695323996e-07
10.0,4.5511807605237567e-07
