# m4/MeV Umu4^2
4.207164086666666947e+01 2.518307978902040818e-05
4.020199083425538333e+01 2.899842156471580629e-05
3.852333772440770332e+01 3.334507111072425626e-05
3.839303405555556026e+01 3.378496063704673709e-05
3.669800340301820540e+01 3.826258908425739469e-05
3.534199964851810449e+01 4.381433924494719501e-05
3.471442724444444394e+01 4.654484521767787063e-05
3.365555148759600712e+01 5.006923644245169538e-05
3.239367120201232098e+01 5.710206796572377076e-05
3.113908392011930104e+01 6.499381750704490742e-05
3.103582043333333473e+01 6.588471546691185255e-05
2.969324311102789693e+01 7.383199021336551895e-05
2.860768546334582396e+01 8.371093719845040695e-05
2.753088931936119010e+01 9.473217779825561090e-05
2.735721362222222197e+01 9.755737933136135367e-05
2.641478381783099394e+01 1.070047177700190197e-04
2.526109347887209111e+01 1.206453615638226857e-04
2.433808423803904830e+01 1.357790167348871464e-04
2.375957606570844405e+01 1.525389885165082820e-04
2.367860681111111276e+01 1.545755846435962610e-04
2.254220776957646422e+01 1.710672625381684314e-04
2.159637027201515025e+01 1.915147736516119000e-04
2.098361218955651353e+01 2.140416588201885276e-04
2.032138952581561142e+01 2.388174920339241572e-04
2.000000000000000000e+01 2.563581058691491552e-04
